"","date","full_text","country","participant"
"1",2020-06-29 16:13:08,"(4/4) Au plan international, le 🇧🇫 exporte la matière première. Pourtant les grandes entreprises importatrices ont revu leur commande à la baisse ou l’ont reporté. Donc le Burkina connaît une baisse des exportations et ses conséquences.
 @EdoSango @yaromarius #Covid19FoodFuture","Burkina Faso","ed_sango"
"2",2020-06-29 16:13:08,"(3/4) Du côté de la demande, il y a risque de baisse de la consommation globale, puisque des entreprises ont été arrêtés, du personnel mis au chômage... Tout ça entraîne une baisse des revenus, donc de la consommation.
 @EdoSango @yaromarius #Covid19FoodFuture","Global","ed_sango"
"3",2020-06-29 16:13:07,"(2/4) Du côté de l’offre, l'agriculture du Burkina dépend des financements publics. Or le budget de l'Etat a connu un rajustement à cause de la Covid-19 ; et le financement public à destination de l'agriculture a été sérieusement touché. @EdoSango @yaromarius #Covid19FoodFuture","Burkina Faso","ed_sango"
"4",2020-06-29 16:13:06,"(1/4) BURKINA FASO: La #COVID19 pourrait avoir plusieurs conséquences sur le déroulement de la campagne agricole déjà enclenché et aggravé la situation déjà préoccupante à en croire l’économiste agricole @yaromarius. 
@EdoSango #Covid19FoodFuture https://t.co/tXWb57uQqG","Burkina Faso","ed_sango"
"5",2020-06-29 16:05:03,"🇲🇬 Fluctuations des prix des produits agricoles et PPN face aux mesures restrictives de la crise sanitaire #Covid19. Baisse de bénéfices des vendeurs de légumes et fruits. Lire cet article pour plus d'informations
 👉https://t.co/ejYRv5RmsO

#Covid19FoodFuture @Maya_disraeli","Global","mayadisraeli"
"6",2020-06-29 16:04:23,"🇲🇬 Comment la filière avicole est-elle impactée par la crise sanitaire de #Covid19 à #Madagascar? Quels sont les solutions proposées ? Lire cet article pour plus d'informations 
👉https://t.co/G2UTmQmaSG 

#Covid19FoodFuture @Maya_disraeli","Madagascar","mayadisraeli"
"7",2020-06-29 14:10:56,"RDC- Covid19: https://t.co/6y5JD8yOjD invite les producteurs, transformateurs, commerçants, … à s’enregistrer gratuitement à sa plateforme pour la promotion et la vente des produits agricoles en ligne . @EMvuenga #Covid19FoodFuture https://t.co/efXen8QnZH","DRC","EMvuenga"
"8",2020-06-29 14:07:12,"Au #Benin, plusieurs secteurs d'activités ont été durement touchés par la crise du #covid19.
#Secteur de la #distribution
#SybileHoueton, entrepreneure #JLB @fesbenin nous partage son expérience dans cet article de @josherbert25 
https://t.co/FsNXo1J0bX
#covid19foodfuture #wasexo","Benin","josherbert25"
"9",2020-06-29 14:07:01,"RDC – Aux conflits armées paralysent l’Est du pays, s’ajoute la crise de Covid-19.  Le gouvernement devrait en urgence faciliter à l’accès aux intrants de production aux éleveurs des bœufs dans cette partie du pays . @EMvuenga #Covid19FoodFuture https://t.co/PKZS4nNPZ4","DRC","EMvuenga"
"10",2020-06-29 14:02:09,"RDC- Agro-entrepreneuriat : Dans le Grand #Katanga, #Clarisse_Tshikwata produit et transforme des tomates pour les grandes agglomérations. https://t.co/8NYrWNwAkP @EMvuenga #Covid19FoodFuture","DRC","EMvuenga"
"11",2020-06-29 14:00:50,"AFRICA- COVID-19 :  Au Nigéria, les prix des denrées alimentaires ont flambé.  Comme @JohnAgboola_ , un sac de sucre (50Kgs) par exemple, a subi une inflation de 46% comparativement à la période avant pandémie. https://t.co/23eE3rVb1R @EMvuenga #Covid19FoodFuture","Global","EMvuenga"
"12",2020-06-29 13:59:21,"AFRICA- Au Togo,  la Banque africaine de développement (@AfDB_Group) réaffecte un prêt de 3 millions de dollars à son secteur agricole en réponse à la pandémie de #Covid19.  https://t.co/gvrxM9AkJA @EMvuenga #Covid19FoodFuture","Global","EMvuenga"
"13",2020-06-29 13:55:12,"AFRICA- Alors que la #Covid19 impact tous les secteurs de la production, quels effets pour l’agriculture familiale ? Quelles pistes de solutions innovantes ? 
👉https://t.co/3xwLNWw2x3 @EMvuenga #Covid19FoodFuture","Global","EMvuenga"
"14",2020-06-29 13:54:19,"AFRICA- COVID19 : A Madagascar,  le transport des produits agricoles a triplé, soit de 8000 ariary (2 euro) à 30 000 ariary (7,5 euro) pour un panier selon @MalalaOnisoa. 👉https://t.co/YXl9mFYxCq @EMvuenga #Covid19FoodFuture","Madagascar","EMvuenga"
"15",2020-06-29 13:06:07,"#MADAGASCAR- #Covid19.  Selon le PCA du Malagasy Daisy Board #MDB, ""Sans Soutien de l'Etat, les producteurs n'auront pas les moyens de relancer cette filière après cette crise sanitaire"". Voir plus sur le lien👇

➡️ https://t.co/D1o1RfqoMP

#Covid19FoodFuture @MalalaOnisoa 🇲🇬","Madagascar","MalalaOnisoa"
"16",2020-06-29 12:59:33,"#MADAGASCAR - #Covid19 Le Président du sénat s'y mets afin de sensibiliser la consommation et la production locales pour redynamiser l'agriculture. Voir plus en suivant le lien suivant 👇

🔗https://t.co/SGdTaI5jQ1

#Covid19FoodFuture @MalalaOnisoa  🇲🇬","Madagascar","MalalaOnisoa"
"17",2020-06-28 16:03:10,"RDC-  Covid19 : Le gouvernement promet d’accompagner les unités et les institutions œuvrant  dans la transformation des produits agricoles à l’instar de #CIVAK_Kimpese. https://t.co/tYp8Ryku0l  @EMvuenga #Covid19FoodFuture","DRC","EMvuenga"
"18",2020-06-28 16:02:03,"AFRICA-  Covid-19 Food Future : Comment les systèmes alimentaires se reconfigurent-ils pendant l’actuelle pandémie ? Découvrez 6 semaines de reportage passionnant grâce à  l’initiative de #Covid19FoodFuture. https://t.co/XdNnsvAHhE  @EMvuenga","Global","EMvuenga"
"19",2020-06-28 13:56:34,"🇲🇬50 milliards Ar afin de soutenir les MPME en difficulté en raison de la crise sanitaire.Quatre secteurs ont été priorisés pour pouvoir en bénéficier, à savoir, l’agriculture, l’élevage, le tourisme et l’industrie. 

👉https://t.co/Ppni3TB2wT 

#Covid19FoodFuture @Maya_disraeli","Global","mayadisraeli"
"20",2020-06-28 13:52:10,"Certains produits agricoles sont enclavés dans leur zone de production à cause des mesures restrictives dans la partie est de #Madagascar, un des épicentres de la maladie #Covid19. Lire cet article pour plus d'informations https://t.co/MyHZGe5MWo
#Covid19FoodFuture @Maya_disraeli","Madagascar","mayadisraeli"
"21",2020-06-28 11:24:37,"#Globally🗺 – #Covid19. “Re-localization” of #FoodSupply is needed, #RenewableEnergy can greatly contribute to the necessary policy interventions needed to achieve it. @IISD_SDGs | Olivier Dubois | @FAO

💡https://t.co/RzOu7lzMCe

#Covid19FoodFuture @MalalaOnisoa 🇲🇬
📸PumpsAfrica https://t.co/fPv4dnmaOm","Global","MalalaOnisoa"
"22",2020-06-28 11:05:47,"#Africa 🌍 - @AU_Commission has urged African countries to utilize the #Covid19 phase for boosting #FoodSecurity 👩‍🌾👨‍🌾🌾 with agricultural research &amp; innovations 🚜📱🌾. @southerntimesa | @sharon_kavhu 

➡️ https://t.co/UH60kWvSWZ 

#Covid19FoodFuture @MalalaOnisoa 🇲🇬 https://t.co/bcWeScgooH","Global","MalalaOnisoa"
"23",2020-06-28 10:57:50,"#Globally 🗺 – #RenewableEnergy can play a key role in adjusting the global #FoodSystems 🌾at the time of #Covid19. @IISD_SDGs | Olivier Dubois | @FAO 

🔗https://t.co/RzOu7lzMCe

#Covid19FoodFuture @MalalaOnisoa🇲🇬
📸 Solarsolaire https://t.co/XsreKS4PNL","Global","MalalaOnisoa"
"24",2020-06-27 18:21:56,"#AFRICA- In the #DRC, the Ministry of Fisheries &amp; Livestock has established a USD 120m fund to support value chain players in the sector. As @EMvuenga writes, this is meant to boost production despite #COVID19 #Covid19FoodFuture @olareeh: https://t.co/JA0LFkfkXS https://t.co/Mo0usbZ30N","DRC","EMvuenga"
"25",2020-06-27 18:12:17,"#AFRICA- Rural development is essential for agricultural output to reach urban markets with minimal losses. @MalalaOnisoa has written an article showcasing how #COVID19 #Covid19FoodFuture reveals the severe infrastructural gaps in #Madagascar @olareeh: https://t.co/DJZwHYIDVp https://t.co/SUwbCXwC22","Madagascar","MalalaOnisoa"
"26",2020-06-27 09:03:47,"#MADAGASCAR – #Vanille ""Les prix plus bas cette année, 3 à 4 fois moins chers que les précédentes, cela nous fait mal. J’espère qu'une fois #Covid19 terminé, les prix vont se stabiliser"" dit Nestor un planteur @RTBFinfo

✅https://t.co/MQvmpODPMw

#Covid19FoodFuture @MalalaOnisoa","Madagascar","MalalaOnisoa"
"27",2020-06-27 08:55:07,"#Globally – Linking energy, Food Security and Helph Can help face #Covid19. @IISD_SDGs | Olivier Dubois | @FAO

👉https://t.co/RzOu7libdE

#Covid19FoodFuture @MalalaOnisoa🇲🇬","Global","MalalaOnisoa"
"28",2020-06-27 08:51:32,"#Globally - #Covid19 : The imperative of a Global #FoodSystem 🌾 transformation.
@gardiannews | @BarillaCFN | @martaantonelli_ | Gabriele Riccardi | @RiccardoValent. Read more here 👇

➡️ https://t.co/omN0XqapDu

#Covid19FoodFuture @MalalaOnisoa 🇲🇬","Global","MalalaOnisoa"
"29",2020-06-26 16:40:06,"#MADAGASCAR – A cause du crise mondiale du #Covid19, Le prix de la #vanille chute de plus de 60%. Madagascar, le premier producteur Mondial, tente de limiter les dégâts. @RTBFinfo

📌https://t.co/MQvmpOVrb6

#Covid19FoodFuture @MalalaOnisoa 🇲🇬","Madagascar","MalalaOnisoa"
"30",2020-06-26 16:28:21,"🇲🇬Les enfants recueillis dans le centre d'accueil à Arivonimamo sont formés en filière avicole afin d'enrichir leur connaissance dans ce secteur. Une belle opportunité pour promouvoir la filière utile en ces temps de crise.https://t.co/S7K08v8JXW
#Covid19FoodFuture @Maya_disraeli","Global","mayadisraeli"
"31",2020-06-26 16:26:27,"🇲🇬La société Guanomad, le leader national en matière de production d’engrais biologique, entreprend des actions de RSE à travers l’association « Ho Maitso ny Tontolo »pour lutter contre le covid-19. 
👉https://t.co/8kvsmJATtl 

#Covid19FoodFuture @Maya_disraeli","Global","mayadisraeli"
"32",2020-06-26 10:00:00,"RDC – Kongo Central : Dans un contexte d’isolement dû à la crise sanitaire de #Covid_19, la promotion des systèmes d’Information des Marchés Agricoles (#SIMA) permettra d’accentuer la productivité agricole des petits producteurs. @EMvuenga #Covid19FoodFuture  #D4Ag https://t.co/hRIKcIxpgZ","DRC","EMvuenga"
"33",2020-06-26 09:54:15,"RDC – COVID-19  : Le Ministère de Pêche et Élevage s’engage à contribuer à l’atténuation des effets économiques provoqués par la crise sanitaire. https://t.co/7qdNPhNpls  @EMvuenga #Covid19FoodFuture","DRC","EMvuenga"
"34",2020-06-26 09:53:34,"AFRICA – Saviez que le #Covid_19 impact les #Foodsystems? Et que les acteurs de chaînes de valeur agricole s’adaptent face à la pandémie grâce aux innovations locales? Chaque semaine #Covid19FoodFuture vous offre des histoires passionnantes via
👉https://t.co/aQ8E8DK7qZ @EMvuenga","Global","EMvuenga"
"35",2020-06-25 15:08:02,"🇲🇬1230 tonnes de vanille exporté cette année, une nette progression malgré les contraintes imposées par l'état d'urgence sanitaire explique le ministre de l'industrie du commerce et de l'artisanat. 
👉https://t.co/xRWjrSzRQI 

#Covid19FoodFuture @Maya_disraeli","Global","mayadisraeli"
"36",2020-06-25 15:07:15,"Quelles potentialités possède #Madagascar en matière de huiles essentielles? Cette filière reste encore à promouvoir et pouvant être un des piliers de l'économie vert du pays. Lire cet article pour plus d'informations 
👉https://t.co/i8uS7rfNGG 

#Covid19FoodFuture @Maya_disraeli","Madagascar","mayadisraeli"
"37",2020-06-25 15:05:55,"🇲🇬A partir du mois de juillet, le PAM - en soutien au Programme #TosikaFameno va fournir une assistance à près de 19 000 personnes qui souffrent de l’impact économique de la crise du COVID-19 à #Moramanga
👉https://t.co/EKObUUmqHZ 
#Covid19FoodFuture @Maya_disraeli
📷PAM https://t.co/pNxjGJKjpj","Global","mayadisraeli"
"38",2020-06-25 12:44:17,"Les réponses à la #COVID19 devraient considérer la nutrition à travers une approche intégrée, incluant la sécurité alimentaire, l’accès à l’eau et l’assainissement, et la nutrition du nourrisson et du jeune enfant. https://t.co/HpotERtJsc
@EdoSango #Covid19FoodFuture","Global","ed_sango"
"39",2020-06-25 12:41:57,"AFRIQUE DE L’OUEST – L’impact de la pandémie sur les couches vulnérables se ressent à plusieurs niveaux :
👉🏾Aggravation des causes de la malnutrition
👉🏾Détérioration de la sécurité alimentaire des ménages, etc.

https://t.co/HpotERtJsc 
@EdoSango @ecowas_cedeao #Covid19FoodFuture","Global","ed_sango"
"40",2020-06-25 10:59:44,"#Covid19 au #Bénin : Analyse comparée des campagnes de commercialisation de l’anacarde 2019 et 2020.” de @josherbert25  https://t.co/HvvjyrLMXk
#wasexo #covid19foodfuture
@gouvbenin @FAOAfrica @giz_gmbh @IFADfrancais 
@CommodAfrica @CashewBulletin @agri_cashews @BeninCaju","Benin","josherbert25"
"41",2020-06-25 09:57:24,"Les produits à forte intensité de main-d’œuvre comme les fruits, les légumes et la viande doivent être mis en avant comme un secteur prioritaire au #Benin. Cela permettrait à la chaîne de valeur de continuer à fonctionner.
 @josherbert25 #wasexo
#covid19foodfuture https://t.co/GtMau5aCQH","Benin","josherbert25"
"42",2020-06-25 09:49:09,"L'initiative ""Tsenan'ny mpiompy"" ou Marché des petits éleveurs est toujours fonctionnel pour venir en aide les petits éleveurs #malagasy face au #Covid19. Pour plus d'info, visitez 👇

➡️ https://t.co/OTOY4MYUCS

#Covid19FoodFuture @MalalaOnisoa 🇲🇬","Global","MalalaOnisoa"
"43",2020-06-25 09:14:36,"🇨🇩- Haut Katanga : La déficit des importations céréalières offrent juteux un marché aux producteurs locaux  de maïs en cette période de crise sanitaire, soit plus de 400. 000 T de demande à satisfaire au niveau provincial.  https://t.co/iu4FvUaGLX  @EMvuenga #Covid19FoodFuture","Global","EMvuenga"
"44",2020-06-25 09:12:35,"RDC- #Covid19 : 2,3 milliards $ générés par la filière cacaoyère au Ghana en 2019 (https://t.co/lblvmigvAE). Le Congo devra en tirer  leçon pour miser sur les cultures industrielles comme le #Cacao pour relancer de l’économie nationale.@EMvuenga #Covid19FoodFuture","Ghana","EMvuenga"
"45",2020-06-25 09:09:36,"#MADAGASCAR – En ce période d’hiver &amp; #Covid19, l’Office Nationale de la Nutrition #ONN a offert 20 tonnes de céréales pleines d’éléments nutritifs à la Commune Urbaine d’#ANTANANARIVO #CUA pour les défavorisés

📌https://t.co/kr7Iz6G23s

#Covid19FoodFuture @MalalaOnisoa🇲🇬
📷CUA https://t.co/rEcq3oPY7I","Madagascar","MalalaOnisoa"
"46",2020-06-25 09:08:53,"WORLD- Suite aux effets de la pandémie de #Covid_19, la consommation de l’huile de palme baisse de 3% dans le monde comparativement à l’année passée selon #Oil_World . https://t.co/jwdGYP4D04 @EMvuenga #Covid19FoodFuture  #Oil","Global","EMvuenga"
"47",2020-06-25 08:58:45,"AFRICA- #Seed: COVID-19 disrupts  seed supply, threatening food security. An overview of #Opaku_Gakpo regarding impact of pandemic in seed supply. https://t.co/aK7MkQxuoh @EMvuenga #Covid19FoodFuture #Seed","Global","EMvuenga"
"48",2020-06-25 08:57:42,"Through its new “Better Farms, Better Lives” initiative, @Bayer help boost #FoodSecurity 🌾 by providing Crop relief to two million smallholder Farmers 👩‍🌾👨‍🌾 impacted by #Covid19.

🔗https://t.co/rEPgOS3LbZ

#Covid19FoodFuture @MalalaOnisoa 🇲🇬 https://t.co/aHXfwJCaEI","Global","MalalaOnisoa"
"49",2020-06-25 08:17:24,"#MADAGASCAR – De plus en plus d’agriculteurs #malagasy s’initient à la plantation🌱 de #vanille. C’est le cas actuel dans la région d’#Alaotra qui est le grenier du Riz 🌾 à Madagascar.

📍https://t.co/DpcJHpXHCL

#Covid19FoodFuture @MalalaOnisoa 🇲🇬
📷 Rfi https://t.co/rFS2J3Vt8L","Madagascar","MalalaOnisoa"
"50",2020-06-24 02:02:58,"#MADAGASCAR – Face à l’urgence sanitaire du #Covid19, #CUAntananarivo et #BidcoMada se sont unis pour venir en aide aux plus démunis en donnant des lots de PPN, incluant du riz🍚, nouilles🍝, savon et sucre. 👇

➡️ https://t.co/9PYJOPIlnu 

#Covid19FoodFuture @MalalaOnisoa🇲🇬","Madagascar","MalalaOnisoa"
"51",2020-06-24 01:51:29,"#Africa 🌍 – Leveraging Institutional Synergy in the Era of #Covid19, read here the Message from the Executive Director of @FARAinfo 

🔗https://t.co/FKE02RylIB 

#Covid19FoodFuture @MalalaOnisoa 🇲🇬","Global","MalalaOnisoa"
"52",2020-06-23 18:32:03,"🇲🇬Baisse importante du prix de la vanille de Madagascar par rapport à la campagne précédente. D'environ 200000ar(50€) le kilo à 70000ar - 80000ar (17,5-20€) aujourd'hui.
 👉https://t.co/EuqAoDKwjQ 

#Covid19FoodFuture @mayadisraeli
📷BBC https://t.co/45H8rCRtvg","Madagascar","mayadisraeli"
"53",2020-06-23 18:29:11,"🇲🇬 Début de la campagne de la vanille dans la région de Sofia. La région prévoit entre 60 et 80 tonnes de production pour cette campagne. 👉https://t.co/EuqAoDKwjQ 

#Covid19FoodFuture @mayadisraeli https://t.co/Hzp0xRSyEV","Global","mayadisraeli"
"54",2020-06-23 17:26:27,"“La semence contribue pour 40% du rendement. Donc, si les producteurs utilisent des semences de variété améliorée de qualité, cela va contribuer à augmenter significativement la production même sur de petites superficies” - Dr Hamidou Traoré

@EdoSango #Covid19FoodFuture","Global","ed_sango"
"55",2020-06-23 17:21:05,"#Burkina: La recherche agricole, à travers l’Institut de l’Environnement et Recherches Agricoles, met des #semences de qualité à la disposition des #agriculteurs, pour contrecarrer le retard dû à la #COVID19.
https://t.co/PDaoKGapIL 
@EdoSango #Covid19FoodFuture","Burkina Faso","ed_sango"
"56",2020-06-23 17:16:17,"Burkina – L’accès des femmes à la terre est capitale à l’atteinte de la sécurité alimentaire. @KASonline profite de la sensibilisation sur la #COVID19 pour faire la promotion des droits fonciers de la femme en milieu rural.
👉🏾 https://t.co/6M5scvR7ZO
 @EdoSango #Covid19FoodFuture https://t.co/hIQC9betJA","Burkina Faso","ed_sango"
"57",2020-06-23 16:39:03,"#Globally 🌍 - The Looming Hunger Pandemic - #Covid19 threatens to push millions into #Starvation. @ForeignAffairs | David M. Beasley @WFPChief

👉https://t.co/g2vfztPiGc

#Covid19FoodFuture @MalalaOnisoa 🇲🇬","Global","MalalaOnisoa"
"58",2020-06-23 16:34:48,"#Covid19 : Using Data to address fragility in Food Supply Chain. @Agrilinks | @BenWielgosz. Read more here 👇👇

📍https://t.co/hv9MwomGVx

#Covid19FoodFuture @MalalaOnisoa 🇲🇬","Global","MalalaOnisoa"
"59",2020-06-23 12:36:54,"🇨🇩RDC- Avec ses 80.000.000 des terres arables, le pays devra capitaliser son plein potentiel pour booster la productivité agricole en cette période de crise sanitaire. @EMvuenga #Covid19FoodFuture https://t.co/fmV6gMxi5G","DRC","EMvuenga"
"60",2020-06-23 12:23:22,"RDC- Chaque plus 2 milliards $ sont engloutis par des importations des denrées alimentaires. En ce qui concerne les céréales, le pays doit changer la donne en termes d’approvisionnement. https://t.co/Lb0IDMIZqa @EMvuenga #Covid19FoodFuture","DRC","EMvuenga"
"61",2020-06-23 12:22:14,"🇨🇩RDC- La recherche agricole congolaise devrait prendre exemple de celle du Burkina Faso (https://t.co/bx1XtJBzq7)  qui valorise les semences améliorées auprès des producteurs pour booster la productivité agricole.  @EMvuenga #Covid19FoodFuture","Burkina Faso","EMvuenga"
"62",2020-06-23 09:20:11,"La crise du #Covid19 et le système éducatif au #Benin : quels impacts et risques pour la sécurité alimentaire ?
A lire ici : https://t.co/f1V6AMRtVn @josherbert25 #covid19foodfuture #wasexo https://t.co/GRdLjX0BXz","Benin","josherbert25"
"63",2020-06-23 09:18:28,"#Covid19 au #Benin : la sécurité alimentaire - comment améliorer la résilience des petits producteurs ?
https://t.co/y7lo0ioLo0
#wasexo
@josherbert25 @gouvbenin
#covid19foodfuture https://t.co/9lpdx4ya1b","Benin","josherbert25"
"64",2020-06-22 18:45:46,"World Food Programme a fourni une assistance alimentaire  en nature et en espèces  à 245 000 personnes dans le sud de #Madagascar. 

👉https://t.co/gkdBHai5r2 

#Covid19FoodFuture #WFP #mayadisraeli

📷PAM https://t.co/NV54M2fKUd","Madagascar","mayadisraeli"
"65",2020-06-22 18:43:17,"🇲🇬""Je ne peux plus pêcher à cause du couvre feu alors que c'est la nuit le moment le plus opportun. Heureusement que je cultive de la girofle et riz qui me permet de survivre"". déclare Amode, pêcheur à Mananara.
👉https://t.co/5h3H8b7YGS 

#Covid19FoodFuture @Maya_disraeli https://t.co/gTYJPA3sn9","Global","mayadisraeli"
"66",2020-06-22 17:32:18,"@ecowas_cedeao lance avec @expertisefrance et le @CILSSinfos  les 1ers projets d’#agriculture #intelligente face au #climat au #Bénin #Niger #Tchad et #Mauritanie @EU_Commission  #riziculture #irrigation #élevage https://t.co/9K1wq61gyp
#covid19foodfuture
@josherbert25  #wasexo","Global","josherbert25"
