"","date","text","country","participant"
"1",2020-05-16 14:47:44,"NIGERIA – Farmers in many parts of the country’s southern cocoa-growing belt were unable to move their produce to the ports in the past weeks due to restrictions on movement, leaving more shipments stuck in warehouses. 🔗https://t.co/QKWwV9amvO #Covid19FoodFuture @JohnAgboola_ https://t.co/EcooWlvRub","Nigeria","JohnAgboola_"
"2",2020-05-16 14:12:32,"NIGERIA – Ranks fifth among the world’s biggest cocoa producers with two cocoa harvests -the main crop between October &amp; December &amp; the smaller mid-crop maturing from April to June. How is Covid-19 affecting the cocoa production &amp; its value chain? #Covid19FoodFuture @JohnAgboola_ https://t.co/A7MYdwLWEj","Nigeria","JohnAgboola_"
"3",2020-05-16 12:30:04,"#Ethiopia - Digital transaction is on the rise. One of the new normal is the use of technology to pay instead of using hard cash, which #Covid-19 could easily transmit from person to person. #Covid19FoodFuture @YaredTesema1","Ethiopia","YaredTesema1"
"4",2020-05-16 12:28:26,"#Ethiopia - In an effort to stimulate the economy, the government has introduced tax waivers, cost-sharing measures &amp; the like, that will benefit 80% of businesses affected by #Covid-19. This will help companies this time. https://t.co/HorkjRWDI6 #Covid19FoodFuture @YaredTesema1 https://t.co/DmClH7Vjr6","Ethiopia","YaredTesema1"
"5",2020-05-16 10:36:15,"@borie_nla @miss_abimbola @dejirauf @Farmexecutive @agbejohnn @JohnAgboola_ @attaller @Ainatolulope1 @Agro1Media @farmerscornerng @CorpFarmersTV @okekecc @ModelAdura https://t.co/SPxiFTEKrZ","Global","JohnAgboola_"
"6",2020-05-16 10:34:28,"#Nigeria - As farmers markets and other kinds of markets are limited, to whom would farmers sell their produce? 

Community supported agriculture and cooperatives may provide some support. 

And how will the pandemic affect food transportation? @miss_abimbola #Covid19FoodFuture https://t.co/vLovx4w5pv","Nigeria","miss_abimbola"
"7",2020-05-16 10:26:57,"#Nigeria - Smaller farms with fewer workers may be less impacted, as their work organization tend to requires less contact, at least on the field. 

But how will distribution networks be impacted? 

@miss_abimbola #Covid19FoodFuture

📷- @theFMNGroup https://t.co/q7nD7J6ERQ","Nigeria","miss_abimbola"
"8",2020-05-16 08:27:48,"#Kenya 

🌽However,farmers in Lower Eastern part of the country say they have maize &amp; It will beuseless to ask farmers to go to the farms, yet the produce from the previous harvest is rotting intheir granaries.

🌽https://t.co/ye9fiyJcNe

🌽#Covid19FoodFuture @sharonjcheboi","Kenya","sharonjcheboi"
"9",2020-05-16 08:26:09,"Kenya Government destroyed 124,486 50-KG bags of maize last year blaming loss to aflatoxincontamination. This year a similar scenario is bound to happen. Postharvest loss is still a major
food safety and security problem https://t.co/ye9fiyJcNe #Covid19FoodFuture @sharonjcheboi","Kenya","sharonjcheboi"
"10",2020-05-16 08:25:23,"🌴#Kenya Plans to import 2 million bags of white maize for humans &amp; 2 million bags of yellowmaize for animal feed between end of June and mid-July.

🌴 #Covid19FoodFuture @sharonjcheboi https://t.co/NeteYDfCGT","Kenya","sharonjcheboi"
"11",2020-05-16 07:05:17,"Les perturbations des chaînes d’approvisionnement mondiales et la mise à l’arrêt de nombreux sites de production agroalimentaire contribuent à réduire la disponibilité des denrées en cette période de crise sanitaire #Covid19.
#Covid19FoodFuture @yadeyacine https://t.co/MKJbVck6Oo","Global","YadeYacine"
"12",2020-05-16 07:00:09,"Au Sénégal l’interruption des chaînes d’approvisionnement met à mal les activities du monde rural en ce temps de #Covid19 chaque jour des tonnes de produits agricole pourrissent entre les mains des producteurs.
#Covid19FoodFuture @yadeyacine https://t.co/uh8zye33bB","Senegal","YadeYacine"
