"","date","full_text","country","participant"
"1",2020-06-29 19:14:33,"AFRICA – The disruptions caused by measures to contain the Covid-19 have further exposed already-weak seed supply chains. Many seed companies and agro-dealers are currently experiencing difficulties in restocking supplies. https://t.co/b18AFAOKge #Covid19FoodFuture @JohnAgboola_","Global","JohnAgboola_"
"2",2020-06-29 19:14:02,"Nowhere is the importance of a good start to farming better portrayed than in the exhibition booths of agricultural conferences, trade shows, etc. With Covid-19 disruption, how are farmers seeking to get their farm inputs - https://t.co/b18AFAOKge #Covid19FoodFuture @JohnAgboola_ https://t.co/ELdFN9C0i6","Global","JohnAgboola_"
"3",2020-06-29 19:09:44,"To farmers, seed is life - starting with good seed selection, and crop management. How can we continue to put quality seeds in the hands of farmers during and post-COVID era? This explore share insights on seed for change - https://t.co/b18AFAOKge #Covid19FoodFuture @JohnAgboola_ https://t.co/yFEQ4b0kLY","Global","JohnAgboola_"
"4",2020-06-29 18:49:49,"#AFRICA- Scratching below the surface of any headline often reveals interesting insights. 
@miss_abimbola analyzes some of the potential reasons behind an egg glut in Nigeria blamed on #COVID19 #Covid19FoodFuture. Read her thoughtful post @olareeh: https://t.co/rW1xfbx560 https://t.co/conQZgV54g","Nigeria","miss_abimbola"
"5",2020-06-29 18:47:25,"#AFRICA- In March, Vietnam- a leading global rice supplier, banned exports due to #COVID19 #Covid19FoodFuture. As 
@Maya_disraeli writes, such disruptions to global supplies are a wake up call to import dependent countries such as #Madagascar @olareeh: https://t.co/AKz38C0Rkw","Madagascar","olareeh"
"6",2020-06-29 17:42:06,"#SOUTHAFRICA Remembering and re-enforcing South Africa's land rights.This is a great time to enforce land rights to improve food systems for a country threatened by the continuous  weakening of the economy. Let's secure food future today @ndomfuh_1 #Covid19foodfuture https://t.co/yKJvfBHdSN","South Africa","ndomfuh_1"
"7",2020-06-29 16:13:08,"(4/4) Au plan international, le 🇧🇫 exporte la matière première. Pourtant les grandes entreprises importatrices ont revu leur commande à la baisse ou l’ont reporté. Donc le Burkina connaît une baisse des exportations et ses conséquences.
 @EdoSango @yaromarius #Covid19FoodFuture","Burkina Faso","ed_sango"
"8",2020-06-29 16:13:08,"(3/4) Du côté de la demande, il y a risque de baisse de la consommation globale, puisque des entreprises ont été arrêtés, du personnel mis au chômage... Tout ça entraîne une baisse des revenus, donc de la consommation.
 @EdoSango @yaromarius #Covid19FoodFuture","Global","ed_sango"
"9",2020-06-29 16:13:07,"(2/4) Du côté de l’offre, l'agriculture du Burkina dépend des financements publics. Or le budget de l'Etat a connu un rajustement à cause de la Covid-19 ; et le financement public à destination de l'agriculture a été sérieusement touché. @EdoSango @yaromarius #Covid19FoodFuture","Burkina Faso","ed_sango"
"10",2020-06-29 16:13:06,"(1/4) BURKINA FASO: La #COVID19 pourrait avoir plusieurs conséquences sur le déroulement de la campagne agricole déjà enclenché et aggravé la situation déjà préoccupante à en croire l’économiste agricole @yaromarius. 
@EdoSango #Covid19FoodFuture https://t.co/tXWb57uQqG","Burkina Faso","ed_sango"
